,,t1,n2,n3,n4
20181113,145,100.34,90.82,94.2,105.17
20181113,150,104.86,92.83,94.01,100.4
20181113,155,102.59,90.48,90.86,103.21
20181113,200,100.97,93.31,92.74,106.51
20181113,205,100.09,93.56,95.73,101.59
20181113,210,97.86,92.51,96.5,103.72
20181113,215,99.92,91.1,95.09,110.77
20181113,220,107.49,91.21,93.21,103.17
20181113,225,99.95,94.6,92.63,100.4
20181113,230,96.79,93.75,94.6,102.49
20181113,235,99.13,92.1,93.17,97.18
20181113,240,96.23,93.37,87.9,98.44
20181113,245,95.11,94.19,92.56,102.53
20181113,250,100.64,95.53,93.97,101.69
20181113,255,98.44,91.1,94.59,96.85
20181113,300,99.88,92.78,95.04,96.79
20181113,305,97.46,91.95,90.55,100.63
20181113,310,99.36,89.24,91.43,94.78
20181113,315,95.43,92.29,94.62,98.31
20181113,320,97.19,91.43,90.65,93.56
20181113,325,96.66,92.99,93.15,102.24
20181113,330,95.83,89.31,91.56,94.42
20181113,335,96.19,90.27,94.44,99.13
20181113,340,96.85,94.24,90.89,100.62
20181113,345,98.78,91.2,93.98,94.18
20181113,350,93.13,89.99,89.82,93
20181113,355,92.15,92.94,90.4,102.75
20181113,400,97.89,90.26,90.97,95.53
20181113,405,96.94,92.9,89.43,97.33
20181113,410,99.29,92.59,91.14,92.53
20181113,415,94.77,88.63,92.77,96.69
20181113,420,96.06,90.45,89.92,93.66
20181113,425,93.9,92.64,93.38,97.92
20181113,430,93.72,91.11,91.9,93.03
20181113,435,95.75,92.45,92.9,96.44
20181113,440,95.86,91.05,92.23,98.02
20181113,445,96.95,94.4,91.88,92.46
20181113,450,95.7,91.69,90.14,95.72
20181113,455,96.34,91.05,89.93,99.07
20181113,500,96.27,93.59,91.49,96.85
20181113,505,95.27,93.96,92.46,98.49
20181113,510,95.13,92.42,93.01,99.36
20181113,515,96.72,93.74,90.52,98.74
20181113,520,96.03,93.21,91.35,96.98
20181113,525,93.53,91.98,91.08,96.55
20181113,530,93.04,88.79,93.37,93.91
20181113,535,93.95,88.23,90.82,95.82
20181113,540,94.04,91.65,92.51,92.1
20181113,545,92.98,84.34,93.25,94.32
20181113,550,91.39,86.01,93.86,91.73
20181113,555,87.01,86.64,94.02,92.48
20181113,600,90.08,87.73,94.99,95.01
20181113,605,89.92,83.71,94.25,95.94
20181113,610,87.26,85.99,92.03,91.37
20181113,615,85.21,84.18,93.23,88.74
20181113,620,85.59,81.37,94.61,88.01
20181113,625,83.36,82.1,94.15,87.17
20181113,630,85.04,80.14,96.43,85.87
20181113,635,81.93,80.7,95.34,78.89
20181113,640,81.9,79.95,94.11,77.43
20181113,645,77.79,78.47,96.25,80.64
20181113,650,80.94,82.9,97.14,85.84
20181113,655,86.06,84.29,98.69,83.68
20181113,700,86.03,83.44,97.07,72.77
20181113,705,84.68,81.48,98.17,56.77
20181113,710,85.46,82.38,98.7,55.38
20181113,715,84.08,82.62,98.23,45.54
20181113,720,83.84,81.46,98.96,44.87
20181113,725,83.72,78.94,100.29,54.1
20181113,730,81.35,76.73,98.43,51.73
20181113,735,80.52,74.19,98.07,46.34
20181113,740,78.32,71.67,99.51,43.1
20181113,745,80.5,69.24,98.52,45.44
20181113,750,78.08,76.31,101.71,47.25
20181113,755,81.19,68.48,99.53,49.05
20181113,800,82.88,67.65,98.96,45.2
20181113,805,86.16,67.51,100.21,48.32
20181113,810,87.12,67.79,98.58,53.61
20181113,815,88.87,64.7,99.79,55.3
20181113,820,85.76,57.65,97.6,53.93
20181113,825,69.61,42.63,99.13,50.64
20181113,830,66.63,39.64,99.52,41.99
20181113,835,55.62,35.36,98.63,41.28
20181113,840,62.6,31.87,97.42,31.76
20181113,845,57.79,41.21,98.4,32.06
20181113,850,53.99,49.81,97.78,33.77
20181113,855,68.34,54.39,97.87,26.64
20181113,900,70.73,42.27,96.81,40.11
20181113,905,59.17,52.65,96.06,45.39
20181113,910,53,62.98,94.39,45.02
20181113,915,63.12,70.45,95.87,33.35
20181113,920,55.47,78.49,95.22,29.82
20181113,925,54.58,85.43,94.23,30.63
20181113,930,51.86,85.61,95.59,33
20181113,935,57.54,85.58,95,28.78
20181113,940,57.58,86.27,95.68,27.55
20181113,945,61.32,86.43,93.59,28.04
20181113,950,57.8,84.38,94.2,29.14
20181113,955,59.28,87.68,94.51,33.84
20181113,1000,60.13,84.51,93.88,31.44
20181113,1005,58.78,84.67,93.19,33.88
20181113,1010,60.1,84.83,92.78,37.27
20181113,1015,57.19,85.06,94.16,42.91
20181113,1020,66.44,85.46,95.91,43.44
20181113,1025,77.74,85.13,94.88,47.84
20181113,1030,81.23,88.21,94.15,47.84
20181113,1035,83.71,86.09,94.6,49.24
20181113,1040,80.11,86.8,92.52,52.02
20181113,1045,82.46,83.52,92.19,65.49
20181113,1050,83.02,80.33,93.31,81.45
20181113,1055,84.32,80.29,93.67,80.14
20181113,1100,89.11,81.88,94.23,62.53
20181113,1105,90.46,85.89,94.41,62.33
20181113,1110,88.23,86.16,92.7,63.05
20181113,1115,88.37,86.43,94.46,84.82
20181113,1120,84.25,87.08,95.56,82.22
20181113,1125,87.63,85.17,93.83,80.22
20181113,1130,84.45,84.73,93.98,79.67
20181113,1135,85.54,85.15,95.63,84.3
20181113,1140,84.3,86.34,95.32,80.35
20181113,1145,84.69,86.99,94.79,77.8
20181113,1150,83.97,90.16,93.34,85.62
20181113,1155,84.16,88.8,93.42,82.28
20181113,1200,82.62,89.53,94.34,78.81
20181113,1205,81.24,87.76,93.59,75.83
20181113,1210,82.02,88.42,95.23,72.33
20181113,1215,81.7,88.71,96.24,67.43
20181113,1220,83.47,89.82,93.93,73.81
20181113,1225,81.78,89.06,92.89,80.74
20181113,1230,85.09,92.14,94.18,75.21
20181113,1235,85.49,91.12,93.82,70.02
20181113,1240,86.96,92.85,95.69,76.61
20181113,1245,83.8,91.47,95.75,73.15
20181113,1250,82.63,90.84,96.61,62.77
20181113,1255,82.5,91.03,96.33,69.01
20181113,1300,76.41,90.24,94.94,66.6
20181113,1305,79.21,92.07,95.22,73.97
20181113,1310,79.89,89.89,93.71,71.98
20181113,1315,80.15,89.95,93.83,57.48
20181113,1320,70.57,89.23,94.42,69.55
20181113,1325,68.08,91.72,94.67,72
20181113,1330,63.47,91.23,94.38,68.13
20181113,1335,58.18,92.13,94.26,54.57
20181113,1340,61.32,92.58,94.48,39.28
20181113,1345,60.65,88.35,93.81,36.24
20181113,1350,62.36,90.59,92.37,38.04
20181113,1355,56.56,89.46,92.12,43.19
20181113,1400,60.63,91.76,91.51,52.09
20181113,1405,62.66,90.31,91.9,61.01
20181113,1410,55.39,91.39,92.07,67.07
20181113,1415,68.02,91.9,90.37,92.15
20181113,1420,86.1,92.43,90.35,91.94
20181113,1425,86.36,91.58,87.76,92.22
20181113,1430,86.25,91.24,89.61,91.55
20181113,1435,87.6,92.74,89.76,80.31
20181113,1440,87.41,91.41,91.24,76.53
20181113,1445,84.04,91.64,89.21,71.92
20181113,1450,85.56,94.99,86.64,75.53
20181113,1455,84.67,91.76,88.58,69.74
20181113,1500,62.44,90.73,90.57,77.57
20181113,1505,56.29,91.07,89.79,69.71
20181113,1510,56.42,91.52,89.88,50.57
20181113,1515,58.2,91.29,88.31,40.36
20181113,1520,55.35,91.22,88.64,34.35
20181113,1525,57.56,90.47,89.07,30
20181113,1530,54.95,89.66,87.28,26.5
20181113,1535,53.22,89.58,89.4,31.62
20181113,1540,55.56,93.04,85.27,31.83
20181113,1545,55.38,92.03,89.28,29.98
20181113,1550,59.75,91.38,87.47,29.95
20181113,1555,55.21,92.27,90.79,27.05
20181113,1600,59.55,93.41,89.52,27.75
20181113,1605,54.09,93.3,91.43,29.22
20181113,1610,59.52,92.38,88.57,28.47
20181113,1615,55.39,92.68,87.51,27.31
20181113,1620,53.26,91.8,84.57,25.83
20181113,1625,52.04,91.74,87.07,23.96
20181113,1630,53.46,90.67,86.86,21.81
20181113,1635,54.64,93.37,86.04,19.85
20181113,1640,53.61,89.55,84.78,21.26
20181113,1645,55.67,91.89,86.4,24.29
20181113,1650,57.83,90.72,82.97,22.98
20181113,1655,51.05,98.66,88.14,21.69
20181113,1700,54.36,94.57,84.78,24.12
20181113,1705,56.5,92.62,86.61,23.71
20181113,1710,55.19,93.46,85.88,23.02
20181113,1715,54.86,95.46,81.44,24.03
20181113,1720,53.12,94.71,84.11,27.05
20181113,1725,55.26,92.83,81.72,26.07
20181113,1730,55.66,92.92,80.68,23.06
20181113,1735,56.54,93.78,78.69,23.37
20181113,1740,57.95,92.12,79.89,25.74
20181113,1745,51.3,91.4,79.44,32.03
20181113,1750,61.3,91.7,80.23,38.88
20181113,1755,57.67,89.01,81.78,44.1
20181113,1800,55.55,91.54,83.83,35.68
20181113,1805,53.15,91.03,84.53,31.81
20181113,1810,62.62,89.18,85.81,24.11
20181113,1815,58.12,86.41,85.73,30.94
20181113,1820,51.21,89.03,86.12,38.3
20181113,1825,57.13,87.51,89.97,28.24
20181113,1830,60.23,90.18,86.53,27.86
20181113,1835,69.6,91.14,85.57,28.93
20181113,1840,61.94,92.06,85.04,33.19
20181113,1845,68.29,92.26,83.18,44.98
20181113,1850,63.93,91.37,81.54,47.11
20181113,1855,59.7,88.87,82.59,39.48
20181113,1900,62.17,88.36,84.53,31.13
20181113,1905,62.13,90.43,81.34,36.95
20181113,1910,66.08,89.85,81.17,36.19
20181113,1915,66.78,90.67,84.88,44.29
20181113,1920,61.76,91.92,81.42,51.97
20181113,1925,57.19,92.63,85.82,75.64
20181113,1930,55.11,93.27,85.47,77.01
