,,t1,n1,n2,n3
20190626,205,98.48,101.1,94.1,98.8
20190626,210,96.04,93.72,95.28,100.49
20190626,215,102.89,95.99,95.07,98.85
20190626,220,104.75,97.14,91.25,101.11
20190626,225,101.18,99.36,92.11,93.41
20190626,230,95.78,96.9,91.05,97.38
20190626,235,101.57,92.7,88.91,96.72
20190626,240,102.98,90.3,90.43,104.4
20190626,245,101.08,93.04,91.83,97.49
20190626,250,99.48,92.45,96.73,96.03
20190626,255,101,92.93,90.56,92.35
20190626,300,98.81,93.48,90.49,93.76
20190626,305,94.53,93.19,93.01,99.65
20190626,310,99.26,91.34,89.75,94.63
20190626,315,94.38,90.69,92.53,93.93
20190626,320,96.58,90.17,93.66,97.48
20190626,325,96.39,89.44,91.17,95.29
20190626,330,98.02,93.36,90.76,96.94
20190626,335,99.39,92.2,91.48,96.23
